slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
ankr-one-enterprise-recent-state,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=455e1b8b-8336-4969-8777-0296ea21e356)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#arbitrum)""]",,,one,,,,,,,,,,,,,,,,
ankr-nova-free-recent-state,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/arbitrum/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/arbitrum-nova/)""]",,,nova,,,,,,,,,,,,,,,,
ankr-nova-pay-as-you-go-recent-state,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/chains-list/arbitrum/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/arbitrum-nova/)""]",,,nova,,,,,,,,,,,,,,,,
ankr-nova-enterprise-recent-state,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=455e1b8b-8336-4969-8777-0296ea21e356)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/arbitrum-nova/)""]",,,nova,,,,,,,,,,,,,,,,
ankr-sepolia-free-recent-state,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/arbitrum/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#arbitrum)""]",,,sepolia,,,,,,,,,,,,,,,,
ankr-sepolia-pay-as-you-go-recent-state,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/chains-list/arbitrum/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#arbitrum)""]",,,sepolia,,,,,,,,,,,,,,,,
ankr-sepolia-enterprise-recent-state,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=455e1b8b-8336-4969-8777-0296ea21e356)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#arbitrum)""]",,,sepolia,,,,,,,,,,,,,,,,
blockdaemon-one-free-recent-state,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/arbitrum)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,one,,,,,,,,,,,,,,,,
blockdaemon-one-pay-as-you-go-recent-state,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,one,,,,,,,,,,,,,,,,
blockdaemon-one-enterprise-recent-state,!provider:blockdaemon-enterprise-recent-state,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,one,,,,,,,,,,,,,,,,
blockdaemon-nova-free-recent-state,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/arbitrum)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,nova,,,,,,,,,,,,,,,,
blockdaemon-nova-pay-as-you-go-recent-state,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,nova,,,,,,,,,,,,,,,,
blockdaemon-nova-enterprise-recent-state,!provider:blockdaemon-enterprise-recent-state,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,nova,,,,,,,,,,,,,,,,
blockdaemon-sepolia-free-recent-state,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/arbitrum)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,sepolia,,,,,,,,,,,,,,,,
blockdaemon-sepolia-pay-as-you-go-recent-state,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,sepolia,,,,,,,,,,,,,,,,
blockdaemon-sepolia-enterprise-recent-state,!provider:blockdaemon-enterprise-recent-state,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,sepolia,,,,,,,,,,,,,,,,
blockdaemon-one-free-full-archive,!provider:blockdaemon-free-full-archive,"[""[Website](https://www.blockdaemon.com/arbitrum)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,one,,,,,,,,,,,,,,,,
blockdaemon-one-pay-as-you-go-full-archive,!provider:blockdaemon-pay-as-you-go-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,one,,,,,,,,,,,,,,,,
blockdaemon-one-enterprise-full-archive,!provider:blockdaemon-enterprise-full-archive,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,one,,,,,,,,,,,,,,,,
blockdaemon-nova-free-full-archive,!provider:blockdaemon-free-full-archive,"[""[Website](https://www.blockdaemon.com/arbitrum)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,nova,,,,,,,,,,,,,,,,
blockdaemon-nova-pay-as-you-go-full-archive,!provider:blockdaemon-pay-as-you-go-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,nova,,,,,,,,,,,,,,,,
blockdaemon-nova-enterprise-full-archive,!provider:blockdaemon-enterprise-full-archive,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,nova,,,,,,,,,,,,,,,,
blockdaemon-sepolia-free-full-archive,!provider:blockdaemon-free-full-archive,"[""[Website](https://www.blockdaemon.com/arbitrum)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,sepolia,,,,,,,,,,,,,,,,
blockdaemon-sepolia-pay-as-you-go-full-archive,!provider:blockdaemon-pay-as-you-go-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,sepolia,,,,,,,,,,,,,,,,
blockdaemon-sepolia-enterprise-full-archive,!provider:blockdaemon-enterprise-full-archive,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/arbitrum)""]",,,sepolia,,,,,,,,,,,,,,,,
blockpi-one-free-recent-state,!provider:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/arbitrum)"",""[Docs](https://docs.blockpi.io/)""]",,,one,,,,,,,,,,,,,,,,
blockpi-one-pay-as-you-go-recent-state,!provider:blockpi-pay-as-you-go-recent-state,"[""[Buy](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,one,,,,,,,,,,,,,,,,
blockpi-one-enterprise-recent-state,!provider:blockpi-enterprise-recent-state,"[""[Contact](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,one,,,,,,,,,,,,,,,,
blockpi-nova-free-recent-state,!provider:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/arbitrum)"",""[Docs](https://docs.blockpi.io/)""]",,,nova,,,,,,,,,,,,,,,,
blockpi-nova-pay-as-you-go-recent-state,!provider:blockpi-pay-as-you-go-recent-state,"[""[Buy](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,nova,,,,,,,,,,,,,,,,
blockpi-nova-enterprise-recent-state,!provider:blockpi-enterprise-recent-state,"[""[Contact](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,nova,,,,,,,,,,,,,,,,
blockpi-sepolia-free-recent-state,!provider:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/arbitrum)"",""[Docs](https://docs.blockpi.io/)""]",,,sepolia,,,,,,,,,,,,,,,,
blockpi-sepolia-pay-as-you-go-recent-state,!provider:blockpi-pay-as-you-go-recent-state,"[""[Buy](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,sepolia,,,,,,,,,,,,,,,,
blockpi-sepolia-enterprise-recent-state,!provider:blockpi-enterprise-recent-state,"[""[Contact](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,sepolia,,,,,,,,,,,,,,,,
blockpi-one-free-full-archive,!provider:blockpi-free-full-archive,"[""[Website](https://blockpi.io/chain/arbitrum)"",""[Docs](https://docs.blockpi.io/)""]",,,one,,,,,,,,,,,,,,,,
blockpi-one-pay-as-you-go-full-archive,!provider:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,one,,,,,,,,,,,,,,,,
blockpi-one-enterprise-full-archive,!provider:blockpi-enterprise-full-archive,"[""[Contact](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,one,,,,,,,,,,,,,,,,
blockpi-nova-free-full-archive,!provider:blockpi-free-full-archive,"[""[Website](https://blockpi.io/chain/arbitrum-nova)"",""[Docs](https://docs.blockpi.io/)""]",,,nova,,,,,,,,,,,,,,,,
blockpi-nova-pay-as-you-go-full-archive,!provider:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,nova,,,,,,,,,,,,,,,,
blockpi-nova-enterprise-full-archive,!provider:blockpi-enterprise-full-archive,"[""[Contact](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,nova,,,,,,,,,,,,,,,,
blockpi-sepolia-free-full-archive,!provider:blockpi-free-full-archive,"[""[Website](https://blockpi.io/chain/arbitrum)"",""[Docs](https://docs.blockpi.io/)""]",,,sepolia,,,,,,,,,,,,,,,,
blockpi-sepolia-pay-as-you-go-full-archive,!provider:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,sepolia,,,,,,,,,,,,,,,,
blockpi-sepolia-enterprise-full-archive,!provider:blockpi-enterprise-full-archive,"[""[Contact](https://blockpi.io/pricing)"",""[Docs](https://docs.blockpi.io/)""]",,,sepolia,,,,,,,,,,,,,,,,
chainbase-one-free-custom,!provider:chainbase-free-custom,"[""[Website](https://platform.chainbase.com/chainNetwork/Arbitrum)"",""[Docs](https://docs.chainbase.com/catalog/Arbitrum/Overview#the-major-features-of-the-arbitrum-blockchain)""]",,,one,,,,,,,,,,,,,,,,
chainbase-one-pay-as-you-go-custom,!provider:chainbase-pay-as-you-go-custom,"[""[Buy](https://platform.chainbase.com/pricing)"",""[Docs](https://docs.chainbase.com/catalog/Arbitrum/Overview#the-major-features-of-the-arbitrum-blockchain)""]",,,one,,,,,,,,,,,,,,,,
chainbase-one-enterprise-custom,!provider:chainbase-enterprise-custom,"[""[Contact](https://platform.chainbase.com/contact)"",""[Docs](https://docs.chainbase.com/catalog/Arbitrum/Overview#the-major-features-of-the-arbitrum-blockchain)""]",,,one,,,,,,,,,,,,,,,,
chain-love-one-free-archive,!provider:chain-love-free,"[""[Website](https://arbitrum.chain.love/rpc)"",""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/arbitrum)""]",,,one,,,,,,,,,,,,,,,,
chainnodes-one-free-full-archive,!provider:chainnodes-free-full-archive,"[""[Website](https://www.chainnodes.org/chains/arbitrum)"",""[Docs](https://www.chainnodes.org/docs)""]",,,one,,,,,,,,,,,,,,,,
chainnodes-one-pay-as-you-go-full-archive,!provider:chainnodes-pay-as-you-go-full-archive,"[""[Buy](https://www.chainnodes.org/pricing)"",""[Docs](https://www.chainnodes.org/docs)""]",,,one,,,,,,,,,,,,,,,,
chainstack-one-free-recent-state,!provider:chainstack-free-recent-state,"[""[Website](https://chainstack.com/build-better-with-arbitrum/)"",""[Docs](https://docs.chainstack.com/reference/arbitrum-getting-started)""]",,,one,,,,,,,,,,,,,,,,
chainstack-one-pay-as-you-go-recent-state,!provider:chainstack-pay-as-you-go-recent-state,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/reference/arbitrum-getting-started)""]",,,one,,,,,,,,,,,,,,,,
chainstack-one-enterprise-recent-state,!provider:chainstack-enterprise-recent-state,"[""[Contact](https://console.chainstack.com/user/account#login)"",""[Docs](https://docs.chainstack.com/reference/arbitrum-getting-started)""]",,,one,,,,,,,,,,,,,,,,
chainstack-sepolia-free-recent-state,!provider:chainstack-free-recent-state,"[""[Website](https://chainstack.com/build-better-with-arbitrum/)"",""[Docs](https://docs.chainstack.com/reference/arbitrum-getting-started)""]",,,sepolia,,,,,,,,,,,,,,,,
chainstack-sepolia-pay-as-you-go-recent-state,!provider:chainstack-pay-as-you-go-recent-state,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/reference/arbitrum-getting-started)""]",,,sepolia,,,,,,,,,,,,,,,,
chainstack-sepolia-enterprise-recent-state,!provider:chainstack-enterprise-recent-state,"[""[Contact](https://console.chainstack.com/user/account#login)"",""[Docs](https://docs.chainstack.com/reference/arbitrum-getting-started)""]",,,sepolia,,,,,,,,,,,,,,,,
chainstack-one-pay-as-you-go-full-archive,!provider:chainstack-pay-as-you-go-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/reference/arbitrum-getting-started)""]",,,one,,,,,,,,,,,,,,,,
chainstack-one-enterprise-full-archive,!provider:chainstack-enterprise-full-archive,"[""[Contact](https://console.chainstack.com/user/account#login)"",""[Docs](https://docs.chainstack.com/reference/arbitrum-getting-started)""]",,,one,,,,,,,,,,,,,,,,
chainstack-sepolia-pay-as-you-go-full-archive,!provider:chainstack-pay-as-you-go-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/reference/arbitrum-getting-started)""]",,,sepolia,,,,,,,,,,,,,,,,
chainstack-sepolia-enterprise-full-archive,!provider:chainstack-enterprise-full-archive,"[""[Contact](https://console.chainstack.com/user/account#login)"",""[Docs](https://docs.chainstack.com/reference/arbitrum-getting-started)""]",,,sepolia,,,,,,,,,,,,,,,,
drpc-one-free-recent-state,!provider:drpc-free-recent-state,"[""[Website](https://drpc.org/chainlist/arbitrum-mainnet-rpc)"",""[Docs](https://drpc.org/docs/arbitrum-api)""]",,,one,,,,,,,,,,,,,,,,
drpc-one-pay-as-you-go-recent-state,!provider:drpc-pay-as-you-go-recent-state,"[""[Buy](https://drpc.org/pricing)"",""[Docs](https://drpc.org/docs/arbitrum-api)""]",,,one,,,,,,,,,,,,,,,,
drpc-one-enterprise-recent-state,!provider:drpc-enterprise-recent-state,"[""[Contact](https://drpc.org/pricing)"",""[Docs](https://drpc.org/docs/arbitrum-api)""]",,,one,,,,,,,,,,,,,,,,
drpc-nova-free-recent-state,!provider:drpc-free-recent-state,"[""[Website](https://drpc.org/chainlist/arbitrum-nova-mainnet-rpc)"",""[Docs](https://drpc.org/docs/arbitrum-api)""]",,,nova,,,,,,,,,,,,,,,,
drpc-nova-pay-as-you-go-recent-state,!provider:drpc-pay-as-you-go-recent-state,"[""[Buy](https://drpc.org/pricing)"",""[Docs](https://drpc.org/docs/arbitrum-api)""]",,,nova,,,,,,,,,,,,,,,,
drpc-nova-enterprise-recent-state,!provider:drpc-enterprise-recent-state,"[""[Contact](https://drpc.org/pricing)"",""[Docs](https://drpc.org/docs/arbitrum-api)""]",,,nova,,,,,,,,,,,,,,,,
drpc-sepolia-free-recent-state,!provider:drpc-free-recent-state,"[""[Website](https://drpc.org/chainlist/arbitrum-sepolia-rpc)"",""[Docs](https://drpc.org/docs/arbitrum-api)""]",,,sepolia,,,,,,,,,,,,,,,,
drpc-sepolia-pay-as-you-go-recent-state,!provider:drpc-pay-as-you-go-recent-state,"[""[Buy](https://drpc.org/pricing)"",""[Docs](https://drpc.org/docs/arbitrum-api)""]",,,sepolia,,,,,,,,,,,,,,,,
drpc-sepolia-enterprise-recent-state,!provider:drpc-enterprise-recent-state,"[""[Contact](https://drpc.org/pricing)"",""[Docs](https://drpc.org/docs/arbitrum-api)""]",,,sepolia,,,,,,,,,,,,,,,,
