slug,provider,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
blockdaemon-sdk-starter,Blockdaemon Staking SDK,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Contact](https://www.blockdaemon.com/api/pricing)""]",SDK,TypeScript,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]",Custom,Tiered,Starter,"It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",FALSE,FALSE,,,,,
brownie,Brownie,"[""[Website](https://github.com/eth-brownie/brownie)""]",Framework,Python,"[""Smart contract development""]","It provides developers with a robust set of tools to write, test, debug, and deploy smart contracts using the Python programming language instead of JavaScript/TypeScript, which is more common in Web3 development",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
capstone-disassembler,Capstone Disassembler,"[""[Website](https://github.com/crytic/pyevmasm)""]",Library,TBD,"[""EVM assembler library"",""EVM disassembler"",""Assemble EVM instructions"",""EVM bytecode generation""]",It provides the granular control and visibility needed to work directly with the low-level machine code that powers smart contracts on Ethereum and other EVM-compatible blockchains,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
chainbase-sdk-free,Chainbase,"[""[Docs](https://docs.chainbase.com/introduction/networks/developers)""]",SDK,TBD,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]","It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
chainbase-sdk-developer,Chainbase,"[""[Buy](https://platform.chainbase.com/pricing)""]",SDK,TBD,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]","It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",Tiered,Developer,$99/mo,FALSE,FALSE,,TBD,TBD,TBD,TBD
chainbase-sdk-enterprise,Chainbase,"[""[Contact](https://platform.chainbase.com/contact)""]",SDK,TBD,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]","It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",Enterprise,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
connectkit,ConnectKit,"[""[Website](https://family.co/docs/connectkit)""]",Library,TypeScript,"[""Wallet Connect"",""Web3 wallet"",""React Component Library""]",React component library for Web3 frontend developers that simplifies the process of connecting a user's cryptocurrency wallet to a decentralized application,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
dappkit,Dappkit,"[""[Website](https://dappkit.dev/)""]",SDK,TBD,"[""dApp development"",""Web3 SDK"",""Blockchain development"",""Smart contract interaction""]","It is a free, open-source Software Development Kit and platform that streamlines the creation and integration of web3 applications by providing pre-built tools, components, and code libraries",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
db3-js,db3.js,"[""[Docs](https://docs.db3.network/)""]",SDK,JavaScript,"[""Decentralized Database"",""Blockchain"",""InterPlanetary File System"",""Arweave""]",It provides a collection of JavaScript and TypeScript libraries for developers to connect and interact with Ethereum and other EVM-compatible blockchain nodes,Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
embark,Embark,"[""[Website](https://github.com/embarklabs/embark)""]",Framework,Rust,"[""Game Development"",""Game Engine"",""Open Source Tools"",""Rendering""]","It provides tools for developing smart contracts, integrating with blockchain platforms like Ethereum and connecting to decentralized storage and communication platforms",TBD,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
ens-js,ENSjs,"[""[Website](https://github.com/ensdomains/ensjs?tab=readme-ov-file)""]",Library,JavaScript,"[""Ethereum Name Service"",""ENS Domains"",""Web3 Development""]",It allows developers to interact with the Ethereum Name Service smart contracts and infrastructure,TBD,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
eth-tx,EthTx,"[""[Website](https://github.com/EthTx/ethtx)""]",Library,Python,"[""Ethereum transaction decoder"",""Blockchain transaction analysis""]","It is a developer and analyst tool that decodes Ethereum transactions into a human-readable format, providing valuable insights into the underlying smart contract logic and token flows",Free,,$0,FALSE,FALSE,,,,,
ethers-js,Ethers.js,"[""[Website](https://docs.ethers.org/v6/)""]",Library,JavaScript,"[""Library"",""dApp development""]",It is a comprehensive JavaScript and TypeScript toolkit that provides developers with a robust and simple way to interact with the Ethereum blockchain and its broader ecosystem,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
etherspot,Etherspot Prime SDK,"[""[Website](https://etherspot.io)"", ""[Docs](https://etherspot.fyi/prime-sdk/intro)""]",SDK,TBD,"[""Account Abstraction"",""Wallet SDK""]",Account Abstraction SDK providing Web2-like smart wallet experiences i.e social logins batched transactions to Ethereum dApps,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
evmole,Evmole,"[""[Website](https://github.com/cdump/evmole)""]",Library,TBD,"[""EVM Bytecode Analysis"",""Smart Contract Analysis"",""ABI Extraction"",""Function Selector Decoding""]","It provides a library for extracting function selectors, arguments, and other key information from Ethereum Virtual Machine (EVM) bytecode, even for unverified smart contracts",TBD,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
foundry,Foundry,"[""[Docs](https://book.getfoundry.sh/)""]",Framework,Rust,"[""Framework""]",$0,Free,,Solidity-native smart contract development toolkit written in Rust offering blazing-fast compilation and testing,FALSE,FALSE,,,,,
fuzzlib,Fuzzlib,"[""[Website](https://github.com/perimetersec/fuzzlib)""]",Library,Solidity,"[""Fuzz Testing"",""Software Testing"",""Security Testing"",""Vulnerability Research""]",$0,Free,,It helps Web3 developers enhance the security and stability of their smart contracts by streamlining the fuzzing process,FALSE,FALSE,,,,,
ginco-sdk-enterprise,Ginco SDK,"[""[Website](https://www.ginco.com/wallet-builder)""]",SDK,TBD,"[""Web3 SDK"",""Blockchain Development Kit"",""Crypto Wallet SDK"",""Non-Custodial Wallet SDK""]",Custom,Enterprise,,"It is specifically designed to help businesses integrate blockchain functionalities, such as digital asset wallets and transaction monitoring, into their own services",FALSE,FALSE,,,,,
halliday,Halliday,"[""[Docs](https://docs.halliday.xyz/)""]",Onramp,TBD,"[""SDK""]",$0,Free,,"Fiat-to-crypto onramp via credit cards, Apple Pay and Google Pay for GHO/GRASS",FALSE,FALSE,,,,,
hardhat,Hardhat,"[""[Docs](https://hardhat.org/docs)""]",Framework,JavaScript,"[""Framework""]",$0,Free,,Versatile Ethereum development framework simplifying smart contract building testing and deployment,FALSE,FALSE,,,,,
huff,Huff,"[""[Website](https://huff.sh/)""]",Programming Language,Huff,"[""EVM programming language"",""Ethereum smart contracts"",""Low-level smart contract language""]",$0,Free,,It is a low-level programming language and associated ecosystem of developer tools used for writing extremely optimized smart contracts on the Ethereum Virtual Machine,FALSE,FALSE,,,,,
huffmate,Huffmate,"[""[Website](https://github.com/huff-language/huffmate)""]",Library,Huff,"[""Huff-language"",""Smart-contracts"",""Solidity-tools""]",$0,Free,,"It provides a library of hyper-optimized Huff smart contracts intended as resources for learning and implementation, rather than a compiler or debugger",FALSE,FALSE,,,,,
lens-sdk,Lens,"[""[Website](https://github.com/lens-protocol/lens-sdk)""]",SDK,TBD,"[""Decentralized Social Graph"",""Social Network"",""dApp Development"",""Developer Tools"",""Social Features""]","It offers developers the infrastructure and tools required to build decentralized social media applications on the Lens Protocol, a decentralized social graph on the Polygon blockchain",TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
loop-decoder,Loop Decoder,"[""[Website](https://github.com/3loop/loop-decoder)""]",Library,TBD,"[""Code Debugger"",""Developer Tool"",""Code Analysis Tool""]",It offers an all-in-one toolkit designed to simplify Ethereum Virtual Machine (EVM) transaction decoding for web3 developers,TBD,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
magic,Magic,"[""[Website](https://magic.link/)""]",SDK,TBD,"[""Email login"",""Social logins"",""Wallet SDK""]",Web3 onboarding SDK for creating non-custodial wallets using familiar Web2 logins eliminating seed phrases,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
matic-js,Matic.js,"[""[Website](https://github.com/0xPolygon/matic.js)""]",SDK,JavaScript,"[""SDK""]",Official JavaScript SDK for cross-chain bridging and asset management on Polygon,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
ocean-protocol-sdk,Ocean Protocol,"[""[Docs](https://docs.oceanprotocol.com/developers)""]",SDK,TBD,"[""Decentralized Data"",""Data Monetization"",""Data Exchange"",""Data Sharing"",""Blockchain Protocol"",""Data Marketplace""]","It provides developers with a decentralized platform and a comprehensive toolkit for building data-driven applications and marketplaces, focusing on secure, privacy-preserving data sharing and monetization",TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
onchain-kit,Coinbase,"[""[Website](https://www.coinbase.com/blog/a-simple-guide-to-the-web3-developer-stack)""]",SDK,TBD,"[""Onchain Commerce"",""NFT minting"",""Funding flow"",""Social profile"" ]",Go-to SDK for building onchain applications with pre-built templates,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
onchain-test-kit,Coinbase,"[""[Website](https://www.coinbase.com/developer-platform/solutions/account-abstraction-kit)""]",Framework,TBD,"[""Testing"",""Framework""]",End-to-end testing framework for blockchain apps,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
openzeppelin,OpenZeppelin,"[""[Docs](https://docs.openzeppelin.com/contracts)""]",Library,TBD,"[""Security"",""Contracts Library""]","Library of secure community-vetted smart contracts i.e ERC20, ERC721 etc. for Ethereum development",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
open-zeppelin-test-helpers,OpenZeppelin,"[""[Docs](https://docs.openzeppelin.com/)""]",Library,Solidity,"[""Solidity Test"",""Smart Contract Testing"",""Assertion library""]","It integrates with development environments like Hardhat and Web3.js to offer powerful, configurable checks for secure contract launches, acting as a key part of OpenZeppelin's broader mission to enhance blockchain security",TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
prb-test,PRB Test,"[""[Website](https://github.com/PaulRBerg/prb-test)""]",Library,Solidity,"[""Solidity Testing Library""]","It is a modern collection of testing assertions and logging utilities for Solidity, and is meant to be a drop-in replacement for DSTest",TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
quicknode-sdk-free,Quicknode SDK,"[""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",SDK,TBD,"[""QuickNode SDK"",""Web3 development"",""Blockchain API"",""Node provider""]",It is an open-source software development kit designed to help developers build decentralized applications (dApps) by abstracting complex blockchain interactions and providing an interface to QuickNode's infrastructure.,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
quicknode-sdk-pay-as-you-go,Quicknode SDK,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",SDK,TBD,"[""QuickNode SDK"",""Web3 development"",""Blockchain API"",""Node provider""]",It is an open-source software development kit designed to help developers build decentralized applications (dApps) by abstracting complex blockchain interactions and providing an interface to QuickNode's infrastructure.,TBD,,$49/$249/$499/$999,FALSE,FALSE,,TBD,TBD,TBD,TBD
quicknode-sdk-enterprise,Quicknode SDK,"[""[Contact](https://www.quicknode.com/contact-us)"",""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",SDK,TBD,"[""QuickNode SDK"",""Web3 development"",""Blockchain API"",""Node provider""]",It is an open-source software development kit designed to help developers build decentralized applications (dApps) by abstracting complex blockchain interactions and providing an interface to QuickNode's infrastructure.,TBD,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
quiver,Raid Guild,"[""[Website](https://github.com/raid-guild/quiver)""]",Library,TBD,"[""Ethereum"",""dApps"",""Web3"",""React"",""Smart-Contracts""]","It offers features like accelerated Web3 onboarding with pre-built components for common interactions, essential integrations with Web3Modal, ENS, and Gnosis Safe Apps, and smart contract interaction",TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
rainbowkit,RainbowKit,"[""[Docs](https://rainbowkit.com/docs/introduction/)""]",Library,TBD,"[""React"",""Wallet SDK""]",Open-source toolkit providing customizable React components for wallet connection UIs enabling seamless Ethereum wallet integrations,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
reth,Reth,"[""[Website](https://reth.rs/sdk/)""]",SDK,Rust,"[""Rust Ethereum Client"",""Rust Blockchain Development"",""EVM compatible chains""]",It is an Ethereum execution client and developer toolkit (SDK) that allows developers to run high-performance Ethereum nodes and build custom blockchain infrastructure using its modular components as libraries,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
rubic-sdk,Rubic-SDK,"[""[Docs](https://docs.rubic.finance/integrate-sdk/sdk-overview)""]",SDK,TBD,"[""Web3 developer tools"",""Cross-chain swap API"",""Blockchain interoperability"",""DEX aggregator SDK"",""Crypto swap widget""]","It offers a SDK, a customizable widget and an API to allow other decentralized applications, wallets or websites to integrate its cross-chain swap functionality directly into their own platforms",TBD,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
sequence,Sequence,"[""[Docs](https://docs.sequence.xyz/home)""]",SDK,TBD,"[""Payments"",""Wallet""]","The modular crypto infrastructure stack that unifies wallets, 1-click cross-chain payments, and real-time data layers across EVMs",TBD,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
swap-kit,SwapKit,"[""[Website](https://swapkit.dev/)""]",SDK,TBD,"[""SwapKit"",""Cross-Chain Swap"",""Multi-Chain Swap"",""DeFi SDK"",""Crypto API""]",It offers an API and SDK for developers to integrate cross-chain swap capabilities into their own applications,TBD,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
tatum-sdk-free,Tatum,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",SDK,TBD,"[""Web3 development"",""Blockchain infrastructure"",""SDKs"",""Multi-chain support""]","Blockchain development platform offering a unified framework, SDKs and API to simplify building Web3 applications without extensive prior blockchain experience",TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
tatum-sdk-pay-as-you-go,Tatum,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",SDK,TBD,"[""Web3 development"",""Blockchain infrastructure"",""SDKs"",""Multi-chain support""]","Blockchain development platform offering a unified framework, SDKs and API to simplify building Web3 applications without extensive prior blockchain experience",TBD,,$25/mo,FALSE,FALSE,,TBD,TBD,TBD,TBD
tatum-sdk-enterprise,Tatum,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",SDK,TBD,"[""Web3 development"",""Blockchain infrastructure"",""SDKs"",""Multi-chain support""]","Blockchain development platform offering a unified framework, SDKs and API to simplify building Web3 applications without extensive prior blockchain experience",TBD,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
truffle,Truffle,"[""[Docs](https://archive.trufflesuite.com/docs)""]",Framework,JavaScript,"[""Framework""]",Ethereum development environment to build deploy and test smart contracts,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
turnkey-free,Turnkey,"[""[Website](https://turnkey.com/)"",""[Docs](https://docs.turnkey.com/sdks/introduction)""]",SDK,JavaScript,"[""Wallet SDK""]",Single API for creating embedded wallets signing transactions and automating onchain actions,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
turnkey-pay-as-you-go,Turnkey,"[""[Buy](https://www.turnkey.com/pricing)"",""[Docs](https://docs.turnkey.com/sdks/introduction)""]",SDK,JavaScript,"[""Wallet SDK""]",Single API for creating embedded wallets signing transactions and automating onchain actions,TBD,,$99/mo,FALSE,FALSE,,TBD,TBD,TBD,TBD
turnkey-enterprise,Turnkey,"[""[Contact](https://www.turnkey.com/contact-us)"",""[Docs](https://docs.turnkey.com/sdks/introduction)""]",SDK,JavaScript,"[""Wallet SDK""]",Single API for creating embedded wallets signing transactions and automating onchain actions,TBD,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
uniswap-web3-react,Uniswap Web3 React,"[""[Website](https://github.com/Uniswap/web3-react)""]",Library,TBD,"[""React integration"",""Decentralized finance"",""Specific Uniswap functionalities""]",It helps developers build the frontend of decentralized applications by simplifying the process of connecting to various Web3 wallets and interacting with the Ethereum blockchain,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
vyper,Vyper,"[""[Docs](https://docs.vyperlang.org/en/latest/)""]",SDK,Python,"[""Compiler"",""Pythonic programming language"",""SDK"",""Command-line interface tools"",""Interactive environment""]","It is a contract-oriented, Pythonic programming language and associated tools for building secure and auditable smart contracts targeting the Ethereum Virtual Machine",TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
waffle,Waffle,"[""[Website](https://github.com/Waffle/waffle)""]",Framework,TBD,"[""Smart contracts testing""]","It offers features such as advanced contract testing with Chai matchers, fixtures for fast test suites, contract mocking, customizable compilation,TypeScript support and NPM integration",TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
wagmi,Wagmi,"[""[Website](https://wagmi.sh/)""]",Library,TypeScript,"[""React hooks"",""Wallet SDK""]",React Hooks library simplifying Ethereum wallet connections and contract interactions in front-end apps,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
wake,Wake,"[""[Website](https://getwake.io/)""]",Framework,TBD,"[""Testing framework based on pytest"",""Vulnerability & code quality detectors"",""Static analysis framework""]","It provides a suite of developer tools focused on the development, testing and security analysis of Solidity smart contracts, serving primarily as a development and testing framework using Python",TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
walletconnect,WalletConnect,"[""[Docs](https://docs.walletconnect.com/)""]",SDK,TBD,"[""Wallet Integration"",""Protocol""]","Open-source protocol that securely connects mobile wallets to decentralized applications for transaction signing and secure interaction in blockchain apps""",TBD,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
walletkit-pay-as-you-go,WalletKit,"[""[Buy](https://walletkit.com/pricing/)""]",SDK,JavaScript,"[""Wallet SDK""]",It provides the underlying infrastructure and features that allow wallets to securely connect and interact with thousands of decentralized applications across various blockchains via the WalletConnect network,TBD,,$75/$250/mo,FALSE,FALSE,,TBD,TBD,TBD,TBD
walletkit-enterprise,WalletKit,"[""[Contact](https://walletkit.com/pricing/)""]",SDK,JavaScript,"[""Wallet SDK""]",It provides the underlying infrastructure and features that allow wallets to securely connect and interact with thousands of decentralized applications across various blockchains via the WalletConnect network,TBD,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
web3auth-free,Web3Auth,"[""[Website](https://web3auth.io/index.html)"",""[Docs](https://web3auth.io/docs/)""]",SDK,TBD,"[""Social logins"",""Wallet SDK""]",OAuth-based social login SDK enabling non-custodial key management and quick user onboarding for Web3 applications,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
web3auth-pay-as-you-go,Web3Auth,"[""[Buy](https://web3auth.io/pricing.html)"",""[Docs](https://web3auth.io/docs/)""]",SDK,TBD,"[""Social logins"",""Wallet SDK""]",OAuth-based social login SDK enabling non-custodial key management and quick user onboarding for Web3 applications,TBD,,$69/$399/mo,FALSE,FALSE,,TBD,TBD,TBD,TBD
web3auth-enterprise,Web3Auth,"[""[Contact](https://calendly.com/elishamm/sales?month=2026-01)"",""[Docs](https://web3auth.io/docs/)""]",SDK,TBD,"[""Social logins"",""Wallet SDK""]",OAuth-based social login SDK enabling non-custodial key management and quick user onboarding for Web3 applications,TBD,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
web3-js,Web3.js,"[""[Docs](https://web3js.readthedocs.io/)""]",Library,JavaScript,"[""Library""]",JavaScript/TypeScript library that provides an API to interact with Ethereum nodes i.e send transactions query blockchain,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
web3-py,Web3.py,"[""[Docs](https://web3py.readthedocs.io/)""]",Library,Python,"[""Web3.py""]","It allows Python developers to build decentralized applications without needing to work directly with the underlying, complex JSON-RPC protocols",TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
zksync-elastic,ZKsync Elastic Chain,"[""[Docs](https://docs.zksync.io/zksync-network/sdk)""]",SDK,TBD,"[""SDK""]",Trustless asset transfers and fast cross-chain interactions between ZKsync chains,TBD,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
