slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
goldrush-astar-enterprise,!provider:goldrush-enterprise,"[""[Contact](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/astar#astar)""]",astar,,,,,,,,,,,,,,,,,,,,
goldrush-shibuya-free,!provider:goldrush-free,"[""[Website](https://goldrush.dev/)"",""[Docs](https://goldrush.dev/docs/chains/shibuya#shibuya-testnet)""]",shibuya,,,,,,,,,,,,,,,,,,,,
goldrush-shibuya-pay-as-you-go,!provider:goldrush-pay-as-you-go,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/shibuya#shibuya-testnet)""]",shibuya,,,,,,,,,,,,,,,,,,,,
goldrush-shibuya-enterprise,!provider:goldrush-enterprise,"[""[Contact](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/shibuya#shibuya-testnet)""]",shibuya,,,,,,,,,,,,,,,,,,,,
goldsky-astar-free,!provider:goldsky-free,"[""[Deploy](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/supported-networks)""]",astar,,,,,,,,,,,,,,,,,,,,
goldsky-astar-pay-as-you-go,!provider:goldsky-pay-as-you-go,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/supported-networks)""]",astar,,,,,,,,,,,,,,,,,,,,
goldsky-astar-enterprise,!provider:goldsky-enterprise,"[""[Contact](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/supported-networks)""]",astar,,,,,,,,,,,,,,,,,,,,
indexing-co-astar-free,!provider:indexing-co-free,"[""[Docs](https://docs.indexing.co/networks/astar)""]",astar,,,,,,,,,,,,,,,,,,,,
indexing-co-astar-pay-as-you-go,!provider:indexing-co-pay-as-you-go,"[""[Docs](https://docs.indexing.co/networks/astar)""]",astar,,,,,,,,,,,,,,,,,,,,
indexing-co-astar-enterprise,!provider:indexing-co-enterprise,"[""[Docs](https://docs.indexing.co/networks/astar)""]",astar,,,,,,,,,,,,,,,,,,,,
mobula-astar-free,!provider:mobula-free,"[""[Website](https://mobula.io/)"",""[Docs](https://docs.mobula.io/blockchains/astar#astar)""]",astar,,,,,,,,,,,,,,,,,,,,
mobula-astar-pay-as-you-go,!provider:mobula-pay-as-you-go,"[""[Buy](https://docs.mobula.io/pricing)"",""[Docs](https://docs.mobula.io/blockchains/astar#astar)""]",astar,,,,,,,,,,,,,,,,,,,,
mobula-astar-enterprise,!provider:mobula-enterprise,"[""[Contact](https://t.me/mobuladevelopers?start=Enterprise)"",""[Docs](https://docs.mobula.io/blockchains/astar#astar)""]",astar,,,,,,,,,,,,,,,,,,,,
onfinality-astar-free,!provider:onfinality-free,"[""[Website](https://onfinality.io/en/networks/astar)"",""[Docs](https://documentation.onfinality.io/support/)""]",astar,,,,,,,,,,,,,,,,,,,,
onfinality-astar-pay-as-you-go,!provider:onfinality-pay-as-you-go,"[""[Buy](https://indexing.onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/support/pricing)""]",astar,,,,,,,,,,,,,,,,,,,,
onfinality-astar-enterprise,!provider:onfinality-enterprise,"[""[Contact](https://indexing.onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/support/pricing)""]",astar,,,,,,,,,,,,,,,,,,,,
sqd-astar-free,!provider:sqd-free,"[""[Deploy](https://www.sqd.ai/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",astar,,,,,,,,,,,,,,,,,,,,
sqd-astar-pay-as-you-go,!provider:sqd-pay-as-you-go,"[""[Buy](https://docs.sqd.ai/cloud/pricing/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",astar,,,,,,,,,,,,,,,,,,,,
subquery-astar-pay-as-you-go,!provider:subquery-pay-as-you-go,"[""[Buy](https://subquery.network/doc/subquery_network/node_operators/rewards.html#pricing-strategy)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/polkadot-astar.html#astar-wasm-quick-start)""]",astar,,,,,,,,,,,,,,,,,,,,
