slug,provider,actionButtons,toolType,tag,price,planName,planType,description,starred
foundry,!provider:foundry,,,,,,,,
fuzzlib,!provider:fuzzlib,,,,,,,,
ganache,!provider:ganache,,,,,,,,
gas-station,Astar Gas Station,"[""[Docs](https://docs.astar.network/docs/build/environment/gas-station/)""]",Gas Oracle,"[""Gas""]",Hybrid pricing model,,Pay-as-you-go,"It functions as a gas oracle, similar to an EVM GAS PRICE API within the Astar ecosystem, providing real-time estimates for gas prices.",FALSE
gas-station-network,!provider:gas-station-network,,,,,,,,
halliday,!provider:halliday,,,,,,,,
hardhat,!provider:hardhat,,,,,,,,
hokusai,!provider:hokusai,,,,,,,,
huff,!provider:huff,,,,,,,,
huffmate,!provider:huffmate,,,,,,,,
intellij-solidity-plugin,!provider:intellij-solidity-plugin,,,,,,,,
ipfs,!provider:ipfs,,,,,,,,
jeb-decompiler,!provider:jeb-decompiler,,,,,,,,
krebit,!provider:krebit,,,,,,,,
kurtosis,!provider:kurtosis,,,,,,,,
laika-ai,!provider:laika-ai,,,,,,,,
lens-sdk,!provider:lens-sdk,,,,,,,,
limechain,!provider:limechain,,,,,,,,
loop-decoder,!provider:loop-decoder,,,,,,,,
magic,!provider:magic,,,,,,,,
matic-js,!provider:matic-js,,,,,,,,
moralis-enterprise,!provider:moralis-enterprise,,,,,,,,
moralis-free,!provider:moralis-free,,,,,,,,
moralis-pay-as-you-go,!provider:moralis-pay-as-you-go,,,,,,,,
multicall3,!provider:multicall3,,,,,,,,
onchain-kit,!provider:onchain-kit,,,,,,,,
onchain-test-kit,!provider:onchain-test-kit,,,,,,,,
openfort-enterprise,!provider:openfort-enterprise,,,,,,,,
openfort-free,!provider:openfort-free,,,,,,,,
openfort-pay-as-you-go,!provider:openfort-pay-as-you-go,,,,,,,,
orbit-db,!provider:orbit-db,,,,,,,,
orderly,!provider:orderly,,,,,,,,
oyente,!provider:oyente,,,,,,,,
paymaster,!provider:paymaster,,,,,,,,
pimlico,!provider:pimlico,,,,,,,,
polyzoa,!provider:polyzoa,,,,,,,,
portal-enterprise,!provider:portal-enterprise,,,,,,,,
portal-free,!provider:portal-free,,,,,,,,
portal-pay-as-you-go,!provider:portal-pay-as-you-go,,,,,,,,
prb-test,!provider:prb-test,,,,,,,,
privy,!provider:privy,,,,,,,,
quicknode-sdk-enterprise,!provider:quicknode-sdk-enterprise,,,,,,,,
quicknode-sdk-free,!provider:quicknode-sdk-free,,,,,,,,
quicknode-sdk-pay-as-you-go,!provider:quicknode-sdk-pay-as-you-go,,,,,,,,
rarible,!provider:rarible,,,,,,,,
remix,!provider:remix,,,,,,,,
reown,!provider:reown,,,,,,,,
reservoir,!provider:reservoir,,,,,,,,
rivet-dev-cloud-enterprise,!provider:rivet-dev-cloud-enterprise,,,,,,,,
rivet-dev-cloud-free,!provider:rivet-dev-cloud-free,,,,,,,,
rivet-dev-cloud-hobby,!provider:rivet-dev-cloud-hobby,,,,,,,,
rivet-dev-cloud-team,!provider:rivet-dev-cloud-team,,,,,,,,
robot-framework-solidity-testing-toolkit,!provider:robot-framework-solidity-testing-toolkit,,,,,,,,
scaffold-eth,!provider:scaffold-eth,,,,,,,,
sequence,!provider:sequence,,,,,,,,
sign-protocol,!provider:sign-protocol,,,,,,,,
stackup-enterprise,!provider:stackup-enterprise,,,,,,,,
stackup-free,!provider:stackup-free,,,,,,,,
stackup-pay-as-you-go,!provider:stackup-pay-as-you-go,,,,,,,,
superchain-dev-console,!provider:superchain-dev-console,,,,,,,,
tenderly,!provider:tenderly,,,,,,,,
thirdweb-aa,!provider:thirdweb-aa,,,,,,,,
toolblox-enterprise,!provider:toolblox-enterprise,,,,,,,,
toolblox-free,!provider:toolblox-free,,,,,,,,
toolblox-pay-as-you-go,!provider:toolblox-pay-as-you-go,,,,,,,,
triangle,!provider:triangle,,,,,,,,
truffle,!provider:truffle,,,,,,,,
type-chain,!provider:type-chain,,,,,,,,
univoucher,!provider:univoucher,,,,,,,,
vialabs,!provider:vialabs,,,,,,,,
vyper,!provider:vyper,,,,,,,,
wake,!provider:wake,,,,,,,,
walletkit-enterprise,!provider:walletkit-enterprise,,,,,,,,
walletkit-pay-as-you-go,!provider:walletkit-pay-as-you-go,,,,,,,,
web3-js,!provider:web3-js,,,,,,,,
web3-py,!provider:web3-py,,,,,,,,
zerodev,!provider:zerodev,,,,,,,,
ziion-linux-distro,!provider:ziion-linux-distro,,,,,,,,
zksync-elastic,!provider:zksync-elastic,,,,,,,,
