slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
ghostgraph-mainnet-enterprise,!provider:ghostgraph-enterprise,"[""[Contact](https://app.ghostlogs.xyz)"",""[Docs](https://docs.tryghost.xyz/ghostgraph/overview)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ghostgraph-testnet-free,!provider:ghostgraph-free,"[""[Docs](https://docs.tryghost.xyz/ghostgraph/overview)""]",testnet,,,,,,,,,,,,,,,,,,,,
goldrush-mainnet-free,!provider:goldrush-free,"[""[Website](https://goldrush.dev/chains/base/)"",""[Docs](https://goldrush.dev/docs/chains/base#base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldrush-mainnet-pay-as-you-go,!provider:goldrush-pay-as-you-go,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/base#base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldrush-mainnet-enterprise,!provider:goldrush-enterprise,"[""[Contact](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/base#base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldrush-testnet-free,!provider:goldrush-free,"[""[Website](https://goldrush.dev/chains/base/)"",""[Docs](https://goldrush.dev/docs/chains/base#base)""]",testnet,,,,,,,,,,,,,,,,,,,,
goldrush-testnet-pay-as-you-go,!provider:goldrush-pay-as-you-go,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/base#base)""]",testnet,,,,,,,,,,,,,,,,,,,,
goldrush-testnet-enterprise,!provider:goldrush-enterprise,"[""[Contact](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/base#base)""]",testnet,,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-free,!provider:goldsky-free,"[""[Website](https://goldsky.com/chains/base)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-pay-as-you-go,!provider:goldsky-pay-as-you-go,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-enterprise,!provider:goldsky-enterprise,"[""[Contact](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
goldsky-testnet-free,!provider:goldsky-free,"[""[Website](https://goldsky.com/chains/base)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",testnet,,,,,,,,,,,,,,,,,,,,
goldsky-testnet-pay-as-you-go,!provider:goldsky-pay-as-you-go,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#base)""]",testnet,,,,,,,,,,,,,,,,,,,,
goldsky-testnet-enterprise,!provider:goldsky-enterprise,"[""[Contact](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#base)""]",testnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-free,!provider:indexing-co-free,"[""[Docs](https://docs.indexing.co/networks/base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-testnet-free,!provider:indexing-co-free,"[""[Docs](https://docs.indexing.co/networks/base_sepolia)""]",testnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-pay-as-you-go,!provider:indexing-co-pay-as-you-go,"[""[Docs](https://docs.indexing.co/networks/base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-testnet-pay-as-you-go,!provider:indexing-co-pay-as-you-go,"[""[Docs](https://docs.indexing.co/networks/base_sepolia)""]",testnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-enterprise,!provider:indexing-co-enterprise,"[""[Docs](https://docs.indexing.co/networks/base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-testnet-enterprise,!provider:indexing-co-enterprise,"[""[Docs](https://docs.indexing.co/networks/base_sepolia)""]",testnet,,,,,,,,,,,,,,,,,,,,
mobula-mainnet-free,!provider:mobula-free,"[""[Website](https://mobula.io/)"",""[Docs](https://docs.mobula.io/blockchains/base#base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
mobula-mainnet-pay-as-you-go,!provider:mobula-pay-as-you-go,"[""[Buy](https://docs.mobula.io/pricing)"",""[Docs](https://docs.mobula.io/blockchains/base#base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
mobula-mainnet-enterprise,!provider:mobula-enterprise,"[""[Contact](https://t.me/mobuladevelopers?start=Enterprise)"",""[Docs](https://docs.mobula.io/blockchains/base#base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-free,!provider:onfinality-free,"[""[Website](https://onfinality.io/en/networks/base)"",""[Docs](https://documentation.onfinality.io/support/base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-pay-as-you-go,!provider:onfinality-pay-as-you-go,"[""[Buy](https://indexing.onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/support/pricing)""]",mainnet,,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-enterprise,!provider:onfinality-enterprise,"[""[Contact](https://indexing.onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/support/base)""]",mainnet,,,,,,,,,,,,,,,,,,,,
onfinality-testnet-free,!provider:onfinality-free,"[""[Website](https://onfinality.io/en/networks/base)"",""[Docs](https://documentation.onfinality.io/support/base)""]",testnet,,,,,,,,,,,,,,,,,,,,
onfinality-testnet-pay-as-you-go,!provider:onfinality-pay-as-you-go,"[""[Buy](https://indexing.onfinality.io/login)"",""[Docs](https://documentation.onfinality.io/support/base)""]",testnet,,,,,,,,,,,,,,,,,,,,
onfinality-testnet-enterprise,!provider:onfinality-enterprise,"[""[Contact](https://indexing.onfinality.io/login)"",""[Docs](https://documentation.onfinality.io/support/base)""]",testnet,,,,,,,,,,,,,,,,,,,,
ormi-mainnet-free,!provider:ormi-free,"[""[Website](https://ormilabs.com/chain-list/base)"",""[Docs](https://docs.ormilabs.com/data-apis/overview#supported-networks)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ormi-mainnet-pay-as-you-go,!provider:ormi-pay-as-you-go,"[""[Buy](https://ormilabs.com/pricing)"",""[Docs](https://docs.ormilabs.com/data-apis/overview#supported-networks)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ormi-mainnet-enterprise,!provider:ormi-enterprise,"[""[Contact](https://calendly.com/ormilabs)"",""[Docs](https://docs.ormilabs.com/data-apis/overview#supported-networks)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ormi-testnet-free,!provider:ormi-free,"[""[Website](https://ormilabs.com/chain-list/base)"",""[Docs](https://docs.ormilabs.com/data-apis/overview#supported-networks)""]",testnet,,,,,,,,,,,,,,,,,,,,
ormi-testnet-pay-as-you-go,!provider:ormi-pay-as-you-go,"[""[Buy](https://ormilabs.com/pricing)"",""[Docs](https://docs.ormilabs.com/data-apis/overview#supported-networks)""]",testnet,,,,,,,,,,,,,,,,,,,,
ormi-testnet-enterprise,!provider:ormi-enterprise,"[""[Contact](https://calendly.com/ormilabs)"",""[Docs](https://docs.ormilabs.com/data-apis/overview#supported-networks)""]",testnet,,,,,,,,,,,,,,,,,,,,
sqd-mainnet-free,!provider:sqd-free,"[""[Website](https://www.sqd.ai/network)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",mainnet,,,,,,,,,,,,,,,,,,,,
sqd-mainnet-pay-as-you-go,!provider:sqd-pay-as-you-go,"[""[Buy](https://docs.sqd.ai/cloud/pricing/#pay-as-you-go-prices)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",mainnet,,,,,,,,,,,,,,,,,,,,
sqd-testnet-free,!provider:sqd-free,"[""[Website](https://www.sqd.ai/network)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",testnet,,,,,,,,,,,,,,,,,,,,
sqd-testnet-pay-as-you-go,!provider:sqd-pay-as-you-go,"[""[Buy](https://docs.sqd.ai/cloud/pricing/#pay-as-you-go-prices)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",testnet,,,,,,,,,,,,,,,,,,,,
subquery-mainnet-pay-as-you-go,!provider:subquery-pay-as-you-go,"[""[Buy](https://subquery.network/doc/subquery_network/node_operators/plans.html#creating-a-fixed-price-plan)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/base.html)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-free,!provider:thegraph-free,"[""[Website](https://thegraph.com/networks/base/?subnetwork=base-mainnet)"",""[Docs](https://thegraph.com/docs/en/supported-networks/base/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-pay-as-you-go,!provider:thegraph-pay-as-you-go,"[""[Buy](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/base/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-enterprise,!provider:thegraph-enterprise,"[""[Contact](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/base/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thegraph-testnet-free,!provider:thegraph-free,"[""[Website](https://thegraph.com/networks/base/?subnetwork=base-sepolia)"",""[Docs](https://thegraph.com/docs/en/supported-networks/base/)""]",testnet,,,,,,,,,,,,,,,,,,,,
thegraph-testnet-pay-as-you-go,!provider:thegraph-pay-as-you-go,"[""[Buy](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/base/)""]",testnet,,,,,,,,,,,,,,,,,,,,
thegraph-testnet-enterprise,!provider:thegraph-enterprise,"[""[Contact](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/base/)""]",testnet,,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-free,!provider:thirdweb-free,"[""[Website](https://thirdweb.com/base)"",""[Docs](https://portal.thirdweb.com/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-pay-as-you-go,!provider:thirdweb-pay-as-you-go,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-enterprise,!provider:thirdweb-enterprise,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-free,!provider:thirdweb-free,"[""[Website](https://thirdweb.com/base-sepolia-testnet)"",""[Docs](https://portal.thirdweb.com/)""]",testnet,,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-pay-as-you-go,!provider:thirdweb-pay-as-you-go,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",testnet,,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-enterprise,!provider:thirdweb-enterprise,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",testnet,,,,,,,,,,,,,,,,,,,,
