slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
ankr-op-mainnet-free-archive,!provider:allthatnode-free-full-archive,"[""[Website](https://www.ankr.com/rpc/optimism)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,mainnet,,,,,,,,,,,,,,,,
ankr-op-mainnet-pay-as-you-go-archive,!provider:allthatnode-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/pricing/)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,mainnet,,,,,,,,,,,,,,,,
ankr-op-mainnet-enterprise-archive,!provider:allthatnode-enterprise-full-archive,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini?uuid=2eca3eb1-02ac-488c-9d17-db61033caed1)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,mainnet,,,,,,,,,,,,,,,,
ankr-op-sepolia-free-archive,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/optimism)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,Full Archive,testnet,,,,,,,,,,,,,,,,
ankr-op-sepolia-pay-as-you-go-archive,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/pricing/)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,Full Archive,testnet,,,,,,,,,,,,,,,,
ankr-op-sepolia-enterprise-archive,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini?uuid=2eca3eb1-02ac-488c-9d17-db61033caed1)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,Full Archive,testnet,,,,,,,,,,,,,,,,
blockpi-op-mainnet-free-archive,!provider:blockpi-free-full-archive,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-op-mainnet-pay-as-you-go-archive,!provider:blockpi-pay-as-you-go-full-archive,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-op-mainnet-enterprise-archive,!provider:blockpi-enterprise-full-archive,,,,mainnet,,,,,,,,,,,,,,,,
blockpi-op-sepolia-free-archive,!provider:blockpi-free-full-archive,,,,testnet,,,,,,,,,,,,,,,,
blockpi-op-sepolia-pay-as-you-go-archive,!provider:blockpi-pay-as-you-go-full-archive,,,,testnet,,,,,,,,,,,,,,,,
blockpi-op-sepolia-enterprise-archive,!provider:blockpi-enterprise-full-archive,,,,testnet,,,,,,,,,,,,,,,,
chainbase-op-mainnet-free,!provider:chainbase-free-custom,,,,mainnet,,,,,,,,,,,,,,,,
chainbase-op-mainnet-pay-as-you-go,!provider:chainbase-pay-as-you-go-custom,,,,mainnet,,,,,,,,,,,,,,,,
chainbase-op-mainnet-enterprise,!provider:chainbase-enterprise-custom,,,,mainnet,,,,,,,,,,,,,,,,
chainnodes-op-mainnet-free-archive,!provider:chainnodes-free-full-archive,,,,mainnet,,,,,,,,,,,,,,,,
chainnodes-op-mainnet-pay-as-you-go-archive,!provider:chainnodes-pay-as-you-go-full-archive,,,,mainnet,,,,,,,,,,,,,,,,
chainstack-op-mainnet-free,!provider:chainstack-free-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
chainstack-op-mainnet-pay-as-you-go-archive,!provider:chainstack-pay-as-you-go-full-archive,"[""[Website](https://chainstack.com/build-better-with-optimism/)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",,,mainnet,,,,,,,,,,,,,,,,
chainstack-op-mainnet-enterprise-archive,!provider:chainstack-enterprise-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",,,mainnet,,,,,,,,,,,,,,,,
chainstack-op-sepolia-free,!provider:chainstack-free-recent-state,"[""[Contact](https://console.chainstack.com/user/account#signup?plan=enterprise)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",,,testnet,,,,,,,,,,,,,,,,
chainstack-op-sepolia-pay-as-you-go-archive,!provider:chainstack-pay-as-you-go-full-archive,"[""[Website](https://chainstack.com/build-better-with-optimism/)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",,,testnet,,,,,,,,,,,,,,,,
chainstack-op-sepolia-enterprise-archive,!provider:chainstack-enterprise-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",,,testnet,,,,,,,,,,,,,,,,
quicknode-op-mainnet-pay-as-you-go-archive,!provider:quicknode-pay-as-you-go-full-archive,"[""[Contact](https://console.chainstack.com/user/account#signup?plan=enterprise)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-op-mainnet-enterprise-archive,!provider:quicknode-enterprise-full-archive,,,,mainnet,,,,,,,,,,,,,,,,
quicknode-op-sepolia-pay-as-you-go-archive,!provider:quicknode-pay-as-you-go-full-archive,,,,testnet,,,,,,,,,,,,,,,,
quicknode-op-sepolia-enterprise-archive,!provider:quicknode-enterprise-full-archive,,,,testnet,,,,,,,,,,,,,,,,
publicnode-op-mainnet-public-recent-state,!provider:publicnode-public-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
publicnode-op-sepolia-public-recent-state,!provider:publicnode-public-recent-state,"[""[Send Requests](https://docs.optimism.io/superchain/networks)""]",,,testnet,,,,,,,,,,,,,,,,
nownodes-op-mainnet-free-recent-state,!provider:nownodes-free-recent-state,"[""[Send Requests](https://docs.optimism.io/superchain/networks)""]",,,mainnet,,,,,,,,,,,,,,,,
nownodes-op-mainnet-pay-as-you-go-recent-state,!provider:nownodes-pay-as-you-go-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
nownodes-op-mainnet-dedicated-recent-state,!provider:nownodes-dedicated-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
tenderly-op-mainnet-free-recent-state,!provider:tenderly-free-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
tenderly-op-mainnet-pay-as-you-go-recent-state,!provider:tenderly-pay-as-you-go-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
tenderly-op-mainnet-dedicated-recent-state,!provider:tenderly-dedicated-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
tenderly-op-sepolia-free-recent-state,!provider:tenderly-free-recent-state,,,,testnet,,,,,,,,,,,,,,,,
tenderly-op-sepolia-pay-as-you-go-recent-state,!provider:tenderly-pay-as-you-go-recent-state,,,,testnet,,,,,,,,,,,,,,,,
tenderly-op-sepolia-dedicated-recent-state,!provider:tenderly-dedicated-recent-state,,,,testnet,,,,,,,,,,,,,,,,
infura-op-mainnet-free-full-archive,!provider:infura-free-full-archive,"[""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",,,mainnet,,,,,,,,,,,,,,,,
infura-op-mainnet-pay-as-you-go-full-archive,!provider:infura-pay-as-you-go-full-archive,"[""[Buy](https://www.infura.io/pricing)"",""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",,,mainnet,,,,,,,,,,,,,,,,
infura-op-mainnet-enterprise-full-archive,!provider:infura-enterprise-full-archive,"[""[Contact](https://www.infura.io/contact)"",""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",,,mainnet,,,,,,,,,,,,,,,,
infura-op-sepolia-free-full-archive,!provider:infura-free-full-archive,"[""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",,,testnet,,,,,,,,,,,,,,,,
infura-op-sepolia-pay-as-you-go-full-archive,!provider:infura-pay-as-you-go-full-archive,"[""[Buy](https://www.infura.io/pricing)"",""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",,,testnet,,,,,,,,,,,,,,,,
infura-op-sepolia-enterprise-full-archive,!provider:infura-enterprise-full-archive,"[""[Contact](https://www.infura.io/contact)"",""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",,,testnet,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,!provider:getblock-free-recent-state,"[""[Website](https://getblock.io/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-testnet-free-recent-state,!provider:getblock-free-recent-state,"[""[Website](https://getblock.io/)"",""[Docs](https://docs.getblock.io/)""]",,,testnet,,,,,,,,,,,,,,,,
getblock-testnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,testnet,,,,,,,,,,,,,,,,
getblock-testnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,testnet,,,,,,,,,,,,,,,,
getblock-testnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,testnet,,,,,,,,,,,,,,,,
getblock-testnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,testnet,,,,,,,,,,,,,,,,
getblock-testnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,testnet,,,,,,,,,,,,,,,,
getblock-testnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,testnet,,,,,,,,,,,,,,,,
