slug,provider,actionButtons,chain,address,technology,plan,trial,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
indexing-co-mainnet-pay-as-you-go,!provider:indexing-co-pay-as-you-go,"[""[Docs](https://docs.indexing.co/networks/linea)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-testnet-pay-as-you-go,!provider:indexing-co-pay-as-you-go,"[""[Docs](https://docs.indexing.co/networks/linea_sepolia)""]",testnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-enterprise,!provider:indexing-co-enterprise,"[""[Docs](https://docs.indexing.co/networks/linea)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-testnet-enterprise,!provider:indexing-co-enterprise,"[""[Docs](https://docs.indexing.co/networks/linea_sepolia)""]",testnet,,,,,,,,,,,,,,,,,,,,
mobula-mainnet-free,!provider:mobula-free,"[""[Website](https://mobula.io/)"",""[Docs](https://docs.mobula.io/blockchains/linea#linea)""]",mainnet,,,,,,,,,,,,,,,,,,,,
mobula-mainnet-pay-as-you-go,!provider:mobula-pay-as-you-go,"[""[Buy](https://docs.mobula.io/pricing)"",""[Docs](https://docs.mobula.io/blockchains/linea#linea)""]",mainnet,,,,,,,,,,,,,,,,,,,,
mobula-mainnet-enterprise,!provider:mobula-enterprise,"[""[Contact](https://t.me/mobuladevelopers?start=Enterprise)"",""[Docs](https://docs.mobula.io/blockchains/linea#linea)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ormi-mainnet-free,!provider:ormi-free,"[""[Website](https://ormilabs.com/chain-list/linea)"",""[Docs](https://docs.ormilabs.com/data-apis/overview#supported-networks)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ormi-mainnet-pay-as-you-go,!provider:ormi-pay-as-you-go,"[""[Buy](https://ormilabs.com/pricing)"",""[Docs](https://docs.ormilabs.com/data-apis/overview#supported-networks)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ormi-mainnet-enterprise,!provider:ormi-enterprise,"[""[Contact](https://calendly.com/ormilabs)"",""[Docs](https://docs.ormilabs.com/data-apis/overview#supported-networks)""]",mainnet,,,,,,,,,,,,,,,,,,,,
sqd-mainnet-free,!provider:sqd-free,"[""[Website](https://www.sqd.ai/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",mainnet,,,,,,,,,,,,,,,,,,,,
sqd-mainnet-pay-as-you-go,!provider:sqd-pay-as-you-go,"[""[Buy](https://docs.sqd.ai/cloud/pricing/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-free,!provider:thegraph-free,"[""[Website](https://thegraph.com/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/linea/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-pay-as-you-go,!provider:thegraph-pay-as-you-go,"[""[Buy](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/linea/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-enterprise,!provider:thegraph-enterprise,"[""[Contact](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/linea/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-free,!provider:thirdweb-free,"[""[Website](https://thirdweb.com/linea)"",""[Docs](https://portal.thirdweb.com/insight)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-pay-as-you-go,!provider:thirdweb-pay-as-you-go,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-enterprise,!provider:thirdweb-enterprise,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",mainnet,,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-free,!provider:thirdweb-free,"[""[Website](https://thirdweb.com/linea-sepolia)"",""[Docs](https://portal.thirdweb.com/insight)""]",testnet,,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-pay-as-you-go,!provider:thirdweb-pay-as-you-go,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",testnet,,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-enterprise,!provider:thirdweb-enterprise,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",testnet,,,,,,,,,,,,,,,,,,,,
